Title,Date,Type,Distributor(s),Franchise,Original game publisher(s),Ref.
Ninjala,"January 8, 2022",Anime television series,TV Tokyo (Japan) YouTube (international)[f],Ninjala,GungHo Online Entertainment,[1003]
Angry Birds: Summer Madness,"January 28, 2022",Animated television series,Netflix,Angry Birds,Rovio Entertainment,[1004]
The Cuphead Show!,"February 18, 2022",Animated television series,Netflix,Cuphead,Studio MDHR,[1005]
Uncharted,"February 18, 2022",Feature film,Sony Pictures Releasing,Uncharted,Sony Interactive Entertainment,[1006]
Halo,"March 24, 2022",Television series,Paramount+,Halo,Xbox Game Studios,[1007]
Sonic the Hedgehog 2,"April 8, 2022",Feature film,Paramount Pictures,Sonic the Hedgehog,Sega,[1008]
Pokémon: Hisuian Snow,"May 18, 2022",Limited anime webseries,YouTube Pokémon TV,Pokémon,Nintendo The Pokémon Company,[1009]
Resident Evil,"July 14, 2022",Television series,Netflix,Resident Evil,Capcom,[1010]
Tekken: Bloodline,"August 18, 2022",Animated television series,Netflix,Tekken,Bandai Namco Entertainment,[1011]
Cyberpunk: Edgerunners,"September 13, 2022",Limited anime series,Netflix,Cyberpunk 2077,CD Projekt,[1012]
Pokémon: The Arceus Chronicles,"September 23, 2022[g]",Limited anime webseries,Amazon Prime Video (Japan) Netflix (int'l except Asia),Pokémon,Nintendo The Pokémon Company,[1013]
Legend of Mana: The Teardrop Crystal,"October 7, 2022",Anime television series,"MBS, TBS (Japan)",Legend of Mana,Square Enix,[1014]
Mortal Kombat Legends: Snow Blind,"October 11, 2022",Animated film,Warner Bros. Home Entertainment,Mortal Kombat,Midway Games,[1015]
Arknights: Prelude to Dawn,"October 28, 2022",Anime television series,TV Tokyo (Japan),Arknights,Yostar,[1016]
Dragon Age: Absolution,"December 9, 2022",Animated television series,Netflix,Dragon Age,BioWare,[1017]
Sonic Prime,"December 15, 2022",CG animated television series,Netflix,Sonic the Hedgehog,Sega,[1018]
